,author,lang,le,il,et,de,que,ne,a,en,si,je,qui,son,vos,ce,tot,soi,un,par,cel,por,se,mout,mais,i,cant,come,car,tant,o,tu,mon,autre,plus,nos,nul,ja,cest,lor,pas,or,devant,tel,mie,on,nostre,ou,lors,vostre,sor,sans,la,puis,dont,apres,onque,aucun,ainz,ainsi,ci,ton,meisme,rien,quel,encore,coi,avant,fors,vers,chascun,entre,coment,jusque,trop,tost,avuec,non,donc,dedenz,assez,cui,contre,suen,ensemble,trestot,mieus,certes,sus,autresi,maint,maintenant,ariere,poi,des,atant,aussi,volentiers,encontre,desus,hors,pres,aincois,mien,plusor,parmi,nient,desoz,autrui,cantque,tantost,ui,selonc,laienz,ha,ca,iluec,outre,moins,e,tres,point,sovent,icel,desor,issi,voir,envers,neporcant,oil,soz,caienz,devers,adonc,entor,enz,enmi,endroit,gaire,dalez,mar,neis,derrier,jus,ez,demain,defors,ici,autrement,lez,tozjors,orendroit,amont,aval,tresque,environ,anuit,contreval,ainc,nenil,totevoies,atot,itant,auques,ades,autretel,autretant,matin,ier,ice,tuen,icest,piec,espoir,aillors,deci,contremont,combien,ambedos,rechief,autant,chies,estre,quelque,itel,encui,jadis,joste,pis,el,autel,iqui,ensement,ledit,hai,pardevant,es,sore,sis,sauf,ensus,meismement,sien,deca,desque,dela,nequedent,ai,sempre,ersoir,rechief_,que_que,lues,miemement,endementieres,dusque,jehui,enquenuit,dementieres,main,lasus,aucant,dejoste,quiconque,voire,naje,empres,avoi,prim,huimais,enjusque,ont,petitet,entreci,franchement,entresait,aussiment,encoste,quelconque,oan,orainz,diva,travers,buer,ambes,cil,chasque,entredeus,denz,demanois,lendemain,nun,partot,mi,enson,enteimes,endementre,aluec,ho,lonc,bas,manois,he_las,eluec,antan,sofisanment,sodainement,fi,ensorquetot,adens,autrefoiz,comfait,item,dementre,entretant,ore,moi,igaument,gote,nesun,deseur,rier,las,res,entre_tant,daerrainement,neporuec,assavoir,daerrain,premerain,excepte,idonc,sodain,viron,tempre,autresiment,endemain,ome,alors,vezci,sieue,tandis,seviaus,decoste,hu,com,jesque,ohi,lanque,trestost,pieca,enne,heu,durant,hui,entrementre,itot,parce,aie,foiz,ceci,helas,totesfoiz,encontreval,depuis,nen,poruec
ChrTr_Cliges_30000-33000,ChrTr,NA,117,178,122,71,95,160,60,76,39,90,27,23,53,18,36,35,11,18,15,14,33,18,32,27,20,13,27,9,8,0,32,8,17,8,16,24,3,3,6,9,5,4,4,4,4,3,7,17,0,9,7,5,6,2,7,0,3,2,4,0,0,5,7,2,4,2,9,1,4,1,1,1,5,1,4,0,1,0,0,5,1,2,2,3,3,3,0,1,3,2,0,0,1,1,7,1,3,0,0,3,2,3,0,2,1,0,1,4,1,0,0,0,0,3,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,104,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChrTr_Cliges_33000-36000,ChrTr,NA,151,188,134,59,110,140,56,60,40,44,35,25,27,21,40,37,17,21,8,14,25,18,26,30,9,15,17,17,7,19,19,8,11,14,16,21,17,3,2,10,5,10,1,4,0,4,9,7,4,13,2,2,9,1,8,0,4,3,4,5,1,8,3,1,2,2,6,1,2,1,0,2,8,1,2,2,2,1,2,3,0,2,3,4,6,0,1,0,1,4,1,0,2,1,1,1,0,0,1,0,2,4,0,1,1,3,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,79,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrTr_Cliges_36000-39000,ChrTr,NA,194,174,155,71,115,133,58,59,39,31,27,10,21,15,32,38,23,15,10,18,21,24,17,35,16,5,21,15,11,3,11,10,14,6,18,11,3,11,4,12,0,5,2,11,2,5,8,9,4,3,7,2,5,1,5,0,5,4,1,1,0,15,0,6,1,0,10,1,2,0,2,0,2,3,1,3,3,4,3,0,0,0,3,2,1,4,1,0,0,6,1,3,0,1,0,2,0,1,0,3,3,2,0,3,0,3,0,4,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,1,0,1,1,2,2,0,1,1,1,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChrTr_Erec_0-3000,ChrTr,NA,245,141,110,89,85,75,69,64,25,47,37,40,14,18,27,28,26,17,15,18,11,32,13,31,14,8,8,16,17,0,7,10,14,2,10,6,10,4,8,4,11,4,6,7,0,2,2,4,13,2,1,4,1,6,4,0,1,1,1,0,3,3,4,1,0,3,3,3,3,0,1,3,2,6,3,1,0,0,3,0,2,1,1,1,3,0,0,0,0,1,5,1,1,0,1,0,3,1,2,1,2,1,0,4,1,1,0,1,0,1,0,0,0,5,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,99,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ChrTr_Erec_3000-6000,ChrTr,NA,223,167,105,91,72,94,58,54,20,53,31,30,29,21,33,37,26,16,23,17,21,29,20,19,10,3,9,16,8,15,19,10,9,3,6,10,16,1,6,9,6,4,3,8,2,1,5,10,5,7,0,4,4,4,6,0,2,0,2,1,2,10,6,5,2,7,0,2,4,1,1,5,4,2,1,0,3,0,3,3,2,1,1,4,1,0,2,1,1,2,2,2,3,0,0,2,0,0,0,2,0,2,1,3,1,1,0,3,0,0,1,2,3,1,1,0,0,2,1,1,0,0,2,0,2,0,1,0,1,0,1,0,1,0,0,0,1,3,1,2,1,0,0,3,1,0,0,4,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,96,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChrTr_Erec_6000-9000,ChrTr,NA,185,130,130,81,61,73,58,76,21,56,34,46,49,18,22,33,27,12,14,19,22,31,13,28,17,2,7,6,13,10,31,9,14,4,13,3,6,3,3,12,3,15,11,3,1,6,12,15,8,5,6,5,5,4,6,0,2,0,5,4,3,5,2,3,2,0,1,1,0,1,1,2,3,1,10,2,3,0,2,1,0,2,4,1,0,1,0,0,0,5,0,1,2,2,1,1,1,0,1,2,1,1,1,0,0,0,1,1,1,1,1,1,0,0,2,0,1,2,0,1,1,0,0,0,5,0,1,2,1,0,0,0,0,0,0,2,2,1,1,0,0,1,1,4,0,0,0,5,0,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,2,92,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrTr_Erec_9000-12000,ChrTr,NA,255,130,148,143,73,96,58,66,19,26,41,50,21,20,27,15,23,15,14,9,6,28,7,33,16,11,6,8,9,0,11,14,19,2,17,1,9,3,6,21,3,3,3,8,0,0,1,1,4,5,0,3,3,8,6,0,1,1,1,0,1,6,1,3,1,0,0,1,3,0,0,2,1,1,3,0,0,1,5,1,0,3,3,2,2,0,1,0,3,4,1,0,1,0,1,0,4,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChrTr_Erec_12000-15000,ChrTr,NA,198,138,141,161,69,69,66,64,23,13,29,45,7,17,32,42,24,19,23,28,5,28,14,30,11,11,6,33,1,0,3,11,25,3,17,1,1,6,3,8,5,13,4,5,1,6,3,0,13,0,9,7,3,6,6,0,4,2,0,0,1,4,1,1,3,2,2,1,4,5,0,0,2,2,1,2,1,2,3,3,3,0,2,4,3,1,0,0,8,2,1,0,2,3,2,2,2,0,0,0,3,0,1,0,2,1,1,3,0,0,0,0,1,1,2,0,1,0,1,0,2,0,5,0,2,0,0,0,1,0,2,0,1,0,0,0,1,0,3,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,73,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChrTr_Erec_15000-18000,ChrTr,NA,141,189,102,78,108,116,58,77,38,87,20,24,59,20,26,43,25,5,19,18,23,24,23,15,15,5,6,12,8,9,24,21,12,1,13,13,5,1,8,15,7,4,3,4,0,3,6,11,9,3,2,5,1,4,4,0,0,2,6,5,0,7,1,5,6,3,1,5,2,1,2,0,11,3,1,1,2,1,2,2,3,2,1,3,2,0,1,1,1,2,3,2,1,1,0,1,1,0,1,0,1,0,0,1,1,2,0,2,0,0,0,0,3,2,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,2,2,2,1,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,73,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ChrTr_Erec_18000-21000,ChrTr,NA,163,185,106,80,87,105,61,69,34,52,20,40,61,14,26,38,12,13,16,13,21,28,20,25,8,9,7,11,11,2,23,7,9,0,8,9,6,3,8,8,9,8,7,3,2,0,5,13,10,8,1,4,3,1,6,0,4,4,4,0,0,8,2,1,0,2,0,4,1,1,1,5,6,4,3,0,1,0,4,2,1,4,1,2,6,3,2,0,0,0,2,5,3,1,0,4,2,0,0,1,1,0,1,2,2,2,0,2,0,0,1,0,2,1,1,0,0,4,0,0,1,0,0,0,2,0,0,0,0,3,1,1,1,0,0,2,0,1,1,0,3,3,1,1,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ChrTr_Erec_21000-24000,ChrTr,NA,179,138,119,103,99,97,40,64,26,74,32,33,44,9,25,49,27,18,22,17,18,28,17,24,10,12,14,19,9,5,23,10,17,1,10,8,7,4,13,4,8,11,5,1,1,3,4,8,13,4,3,4,2,3,6,0,4,1,6,0,2,6,2,3,1,3,2,2,1,2,0,4,4,6,2,0,2,2,5,2,3,0,0,1,0,0,1,0,1,2,5,4,4,2,2,1,1,0,2,4,1,2,0,5,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,4,4,0,0,1,2,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChrTr_Erec_24000-27000,ChrTr,NA,160,175,127,66,79,71,57,80,36,69,20,36,56,12,25,26,17,25,11,22,22,30,15,15,15,7,7,14,5,9,26,6,7,4,8,12,6,4,7,8,2,6,8,1,0,1,5,21,9,6,5,6,1,8,3,0,5,1,12,1,1,5,5,4,2,3,0,3,0,2,0,5,3,4,9,1,2,2,3,2,0,3,1,1,0,1,1,0,1,2,1,1,2,2,1,2,0,0,3,2,2,3,0,4,0,1,0,0,2,1,0,0,0,1,3,1,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,1,3,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,5,0,0,0,71,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ChrTr_Erec_27000-30000,ChrTr,NA,157,156,115,73,80,112,54,68,33,53,35,46,48,16,27,39,23,12,16,18,25,16,20,16,17,10,13,14,13,14,16,6,7,8,15,11,10,1,8,14,5,3,2,1,0,5,6,6,8,9,4,5,2,3,5,1,2,3,4,5,2,9,5,2,6,1,2,6,2,5,1,2,4,7,1,2,0,1,3,1,1,2,1,1,1,0,3,0,2,3,2,2,0,2,2,1,3,0,2,2,2,1,0,2,1,0,0,1,0,0,0,1,2,1,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,2,1,0,3,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,90,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChrTr_Erec_30000-33000,ChrTr,NA,154,152,142,89,86,86,65,66,23,50,40,34,36,26,30,19,24,16,9,23,19,29,19,33,6,8,20,16,11,3,4,13,15,5,15,3,7,9,11,15,3,2,4,3,6,2,1,8,2,7,2,5,3,4,2,0,3,1,6,2,1,8,0,1,3,0,0,2,2,1,12,3,1,2,2,1,0,1,3,5,0,2,3,5,0,0,3,0,6,2,0,2,4,0,1,2,2,0,5,2,3,1,1,2,0,1,1,4,1,1,0,2,1,0,1,1,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,0,0,0,4,0,1,1,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,92,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ChrTr_Erec_33000-36000,ChrTr,NA,155,124,132,81,113,113,60,69,34,68,47,20,52,24,38,38,23,18,13,14,31,21,32,24,5,9,17,23,2,9,18,9,25,1,16,9,11,3,7,9,2,13,5,5,0,3,2,12,9,5,3,2,3,2,8,0,9,1,6,5,1,8,1,4,6,4,4,5,5,0,2,2,4,5,3,2,2,2,2,2,0,1,1,4,3,2,0,0,4,1,2,1,6,2,2,1,2,0,2,2,4,1,1,2,6,4,1,3,1,1,0,3,0,0,2,2,0,0,0,1,1,0,0,0,1,0,4,1,2,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,2,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,86,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrTr_Erec_36000-39000,ChrTr,NA,167,168,156,99,99,105,75,71,38,53,37,42,28,19,28,35,18,14,19,15,8,26,25,21,9,16,8,15,4,0,18,11,18,5,19,4,10,6,10,7,4,6,5,5,3,4,5,4,3,5,4,5,2,7,7,0,5,5,1,0,2,7,3,3,0,0,0,2,6,4,3,3,4,4,6,1,0,0,3,5,2,1,5,7,1,0,0,0,4,4,0,0,1,1,3,2,1,0,2,4,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GerbM_4eContv1_0-3000,GerbM,NA,169,109,113,109,80,83,67,78,39,40,41,23,33,18,29,28,46,39,8,15,16,27,28,13,13,7,10,34,3,18,8,6,16,3,11,5,8,2,7,11,7,2,5,4,3,4,4,6,1,8,4,4,7,1,5,0,4,1,2,2,2,4,3,2,8,1,8,1,6,0,1,0,2,5,3,1,0,4,3,2,0,0,0,2,8,0,0,0,5,1,2,5,0,0,3,1,1,2,0,1,1,1,2,0,3,2,0,0,1,1,0,4,2,4,1,0,0,0,4,2,0,0,2,0,2,1,2,1,1,0,0,1,2,0,0,0,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GerbM_4eContv1_3000-6000,GerbM,NA,173,153,126,66,94,75,66,58,47,37,47,40,25,17,21,34,39,32,29,20,17,23,12,11,18,7,10,18,9,1,9,8,16,4,10,8,6,9,7,12,4,5,7,7,1,5,2,7,6,8,3,13,1,4,9,1,5,1,1,0,1,1,0,3,2,0,4,3,8,2,2,1,1,4,1,1,0,5,1,0,0,1,1,2,0,0,2,0,4,4,0,1,0,0,2,0,2,1,0,0,1,1,0,0,2,1,0,3,1,0,0,7,1,1,0,3,0,1,3,3,2,0,1,0,6,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,107,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GerbM_4eContv1_6000-9000,GerbM,NA,209,145,135,98,83,79,54,58,39,32,54,17,35,23,26,28,16,23,20,15,13,21,18,17,20,11,7,14,4,1,12,3,4,4,12,4,5,12,5,9,6,4,1,14,0,4,4,7,6,4,2,10,4,3,2,1,3,2,2,0,1,4,2,2,7,1,3,5,6,1,5,0,1,2,5,1,0,1,0,3,0,1,3,3,1,0,2,0,17,4,3,3,1,1,3,1,0,0,0,3,1,1,0,0,0,1,0,3,2,0,0,1,1,0,2,0,0,0,2,3,2,0,3,0,6,0,1,1,1,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,119,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
